time,counts
48.3398,4
48.3887,3
48.4375,3
48.4863,2
48.5352,6
48.5840,0
48.6328,1
48.6816,5
48.7305,3
48.7793,4
48.8281,4
48.8770,5
48.9258,0
48.9746,3
49.0234,1
49.0723,2
49.1211,3
49.1699,2
49.2188,4
49.2676,1
49.3164,2
49.3652,1
49.4141,2
49.4629,4
49.5117,1
49.5605,2
49.6094,4
49.6582,2
49.7070,1
49.7559,2
49.8047,1
49.8535,1
49.9023,0
49.9512,1
